R1,R,Z1,Z,L1,L,Energy,Entropy,Slew Rate,Rise Time,Maximum,Minimum,DTW distance
15.0,15.0,40,35,100,40,195.95603362176917,0.44269960431674504,1.2822858261081906,2.0588233498708692e-09,3.3893327713012695,-0.10068867355585098,212.15775215215766
22.0,15.0,40,35,100,40,187.25778261341475,0.47730538765132674,1.0333852766049278,2.5547102903124625e-09,3.2989163398742676,0.0,247.57451123392948
33.0,15.0,40,35,100,40,175.52198983139533,0.5390602776886985,0.6758127260537611,3.9064076455257325e-09,3.284986972808838,0.0,532.9240437344283
47.0,15.0,40,35,100,40,162.12041487051465,0.5676130916260314,0.5000230312080982,5.279756801644786e-09,3.235780715942383,0.0,620.2083773610198
68.0,15.0,40,35,100,40,145.4450995197476,0.5815097755582096,0.3614257103934588,7.3044056470858624e-09,3.115532636642456,0.0,567.6004269337369
1e-09,22.0,40,35,100,40,218.61254140276287,0.5656552635352275,1.7036999111547075,1.5495686668262496e-09,4.133662223815918,-0.9385088086128235,364.92372115372876
10.0,22.0,40,35,100,40,201.13137111366086,0.49701093190744416,1.3899976437580412,1.899283795087892e-09,3.554102659225464,-0.2887003719806671,234.7357537491478
15.0,22.0,40,35,100,40,194.6954739651119,0.42860083868355753,1.230715863972727,2.145093012353096e-09,3.354058027267456,-0.06749826669692993,212.31806745163757
22.0,22.0,40,35,100,40,186.24476183504157,0.47794094872067905,0.9871734913854293,2.6743019570905856e-09,3.298614025115967,0.0,243.18312903200956
33.0,22.0,40,35,100,40,174.57719536650984,0.541966561864474,0.6609768883696285,3.9940882146603446e-09,3.2829930782318115,0.0,506.1713561715093
47.0,22.0,40,35,100,40,161.3350377738243,0.5642408536548496,0.4915358094612519,5.370920997380787e-09,3.231388807296753,0.0,604.7382003255107
68.0,22.0,40,35,100,40,144.81098276064586,0.5797966395094813,0.3574257053066842,7.3861503546164486e-09,3.1090052127838135,0.0,564.8799228125367
1e-09,33.0,40,35,100,40,214.44262188197172,0.5539576228755185,1.6339745457555563,1.6156922437119441e-09,3.9954404830932617,-0.7890556454658508,321.46677116806353
10.0,33.0,40,35,100,40,198.77960255598737,0.4817957143984342,1.3274391505634384,1.988791726445192e-09,3.4827880859375,-0.19892507791519165,219.67674842510993
15.0,33.0,40,35,100,40,192.5868531316155,0.4099544039204053,1.1557849005570964,2.2841620432378907e-09,3.3195395469665527,-0.02246546372771263,206.79326748269045
22.0,33.0,40,35,100,40,184.42415239405818,0.4941468174470211,0.9184766783178717,2.874324479131013e-09,3.297919273376465,0.0,255.69487322577007
33.0,33.0,40,35,100,40,173.02002675023687,0.544817088110035,0.6389932817590103,4.131498836314289e-09,3.279449939727783,0.0,508.86286126872244
47.0,33.0,40,35,100,40,160.03551195353793,0.5661813470747066,0.479066590848916,5.510716151844078e-09,3.2240476608276367,0.0,598.2300972104849
68.0,33.0,40,35,100,40,143.8336880710267,0.5828160639285684,0.35069458843715856,7.527917701168249e-09,3.098545551300049,0.0,571.7409253989839
1e-09,47.0,40,35,100,40,210.00816730065708,0.5477586387435037,1.54353749903599,1.7103568923001875e-09,3.8447725772857666,-0.6131795644760132,290.31447959357786
10.0,47.0,40,35,100,40,195.76084753225587,0.462638114599537,1.2339998366258487,2.1393843999352593e-09,3.401700019836426,-0.11868619918823242,221.15234484426375
15.0,47.0,40,35,100,40,190.00637507815554,0.4175164313648236,1.075567332624174,2.454518578171128e-09,3.300727367401123,-0.001220216858200729,216.84330808791768
22.0,47.0,40,35,100,40,182.0979207423079,0.5133454528322204,0.8479265552470318,3.11347720349538e-09,3.2965340614318848,0.0,276.83008749972817
33.0,47.0,40,35,100,40,171.08132510657015,0.5495700935227218,0.6093242873806999,4.332668260030399e-09,3.274101972579956,0.0,579.2180191250557
47.0,47.0,40,35,100,40,158.38600120332558,0.5615036578490907,0.4635978424831438,5.6945907812243295e-09,3.214101791381836,0.0,560.0575566039216
